GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALU3E001,ALU3E002,ALU3E003,ALU3E004,ALU3E005,ALU3E006,ALU3E007,ALU3E008,ALU3E009,ALU3E010,ALU3E011,ALU3E012,ALU3E013,NAME_M,ALU3M001,ALU3M002,ALU3M003,ALU3M004,ALU3M005,ALU3M006,ALU3M007,ALU3M008,ALU3M009,ALU3M010,ALU3M011,ALU3M012,ALU3M013
"G3800470","2015-2019","ND",,,"North Dakota","38","Logan County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38047",,,"Logan County, North Dakota",784,264,188,75,72,34,19,33,8,11,47,21,12,"Logan County, North Dakota",82,47,39,28,34,19,18,20,7,7,19,11,8
"G3800490","2015-2019","ND",,,"North Dakota","38","McHenry County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38049",,,"McHenry County, North Dakota",2660,543,271,229,160,260,221,369,41,149,206,119,92,"McHenry County, North Dakota",112,80,50,71,51,58,57,60,19,42,50,43,34
"G3800510","2015-2019","ND",,,"North Dakota","38","McIntosh County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38051",,,"McIntosh County, North Dakota",1278,412,363,127,116,97,26,81,17,3,6,6,24,"McIntosh County, North Dakota",70,75,69,41,39,46,16,24,13,3,6,6,17
"G3800530","2015-2019","ND",,,"North Dakota","38","McKenzie County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38053",,,"McKenzie County, North Dakota",6071,964,1437,946,548,450,141,596,76,87,459,308,59,"McKenzie County, North Dakota",363,207,246,226,154,156,80,192,58,42,163,121,42
"G3800550","2015-2019","ND",,,"North Dakota","38","McLean County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38055",,,"McLean County, North Dakota",4049,761,730,443,410,349,157,342,77,161,301,193,125,"McLean County, North Dakota",130,96,89,67,74,79,40,74,29,51,61,37,44
"G3800570","2015-2019","ND",,,"North Dakota","38","Mercer County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38057",,,"Mercer County, North Dakota",4068,647,970,452,622,422,143,227,26,146,116,230,67,"Mercer County, North Dakota",181,137,177,117,118,100,55,69,18,79,80,84,43
"G3800590","2015-2019","ND",,,"North Dakota","38","Morton County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38059",,,"Morton County, North Dakota",16832,833,2075,2885,4795,2561,555,1261,175,218,644,538,292,"Morton County, North Dakota",495,238,366,383,593,351,206,339,78,74,151,152,163
"G3800610","2015-2019","ND",,,"North Dakota","38","Mountrail County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38061",,,"Mountrail County, North Dakota",4424,631,1094,621,440,268,133,445,217,81,134,235,125,"Mountrail County, North Dakota",239,123,185,126,96,80,61,98,196,53,54,83,96
"G3800630","2015-2019","ND",,,"North Dakota","38","Nelson County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38063",,,"Nelson County, North Dakota",1337,247,254,164,161,83,37,172,27,26,92,49,25,"Nelson County, North Dakota",86,49,48,43,58,35,24,51,16,21,28,20,13
"G3800650","2015-2019","ND",,,"North Dakota","38","Oliver County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38065",,,"Oliver County, North Dakota",681,40,53,54,69,109,50,110,33,24,95,23,21,"Oliver County, North Dakota",86,20,32,26,24,39,34,36,17,15,34,17,17
"G3800670","2015-2019","ND",,,"North Dakota","38","Pembina County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38067",,,"Pembina County, North Dakota",3178,574,810,309,405,312,188,190,79,87,129,35,60,"Pembina County, North Dakota",139,79,97,61,92,63,46,48,36,33,36,22,29
"G3800690","2015-2019","ND",,,"North Dakota","38","Pierce County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38069",,,"Pierce County, North Dakota",1858,458,594,215,166,128,12,57,26,42,78,64,18,"Pierce County, North Dakota",143,126,118,89,72,70,14,33,21,36,46,37,19
"G3800710","2015-2019","ND",,,"North Dakota","38","Ramsey County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38071",,,"Ramsey County, North Dakota",5888,731,1745,1551,647,387,180,257,7,66,33,74,210,"Ramsey County, North Dakota",249,199,272,270,172,114,99,110,11,44,23,48,97
"G3800730","2015-2019","ND",,,"North Dakota","38","Ransom County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38073",,,"Ransom County, North Dakota",2624,374,517,328,460,362,92,177,39,29,126,63,57,"Ransom County, North Dakota",131,83,117,72,112,88,40,54,20,18,45,27,28
"G3800750","2015-2019","ND",,,"North Dakota","38","Renville County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38075",,,"Renville County, North Dakota",1073,189,125,89,78,110,62,109,37,18,107,63,86,"Renville County, North Dakota",91,48,44,37,34,46,36,35,20,12,40,24,41
"G3800770","2015-2019","ND",,,"North Dakota","38","Richland County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38077",,,"Richland County, North Dakota",7796,1007,2192,1060,689,495,316,754,191,211,509,265,107,"Richland County, North Dakota",259,127,208,150,115,83,62,115,45,60,97,70,43
"G3800790","2015-2019","ND",,,"North Dakota","38","Rolette County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38079",,,"Rolette County, North Dakota",4972,452,1050,1191,924,578,215,319,26,23,100,27,67,"Rolette County, North Dakota",297,104,199,245,197,135,66,88,21,24,33,24,40
"G3800810","2015-2019","ND",,,"North Dakota","38","Sargent County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38081",,,"Sargent County, North Dakota",1893,321,487,293,275,128,54,173,41,6,73,30,12,"Sargent County, North Dakota",74,49,82,50,46,30,24,53,18,7,21,12,8
"G3800830","2015-2019","ND",,,"North Dakota","38","Sheridan County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38083",,,"Sheridan County, North Dakota",477,91,73,46,87,47,16,27,0,14,19,30,27,"Sheridan County, North Dakota",60,25,28,17,31,20,11,19,9,9,10,18,15
"G3800850","2015-2019","ND",,,"North Dakota","38","Sioux County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38085",,,"Sioux County, North Dakota",1149,163,228,138,200,157,22,105,21,1,29,76,9,"Sioux County, North Dakota",80,53,55,34,52,36,15,33,14,2,16,28,9
"G3800870","2015-2019","ND",,,"North Dakota","38","Slope County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38087",,,"Slope County, North Dakota",229,22,31,32,37,23,8,35,3,5,11,11,11,"Slope County, North Dakota",36,10,13,14,17,14,6,20,4,7,7,9,9
"G3800890","2015-2019","ND",,,"North Dakota","38","Stark County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38089",,,"Stark County, North Dakota",15079,952,3893,3883,2350,1165,282,1020,100,89,303,420,622,"Stark County, North Dakota",466,196,419,436,408,230,84,230,62,57,134,123,179
"G3800910","2015-2019","ND",,,"North Dakota","38","Steele County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38091",,,"Steele County, North Dakota",784,149,130,113,106,73,48,53,7,16,48,32,9,"Steele County, North Dakota",66,42,40,44,34,24,31,29,8,12,24,18,10
"G3800930","2015-2019","ND",,,"North Dakota","38","Stutsman County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38093",,,"Stutsman County, North Dakota",10158,947,3310,2592,1257,514,269,435,66,152,224,77,315,"Stutsman County, North Dakota",350,152,410,257,261,126,89,82,32,53,88,53,127
"G3800950","2015-2019","ND",,,"North Dakota","38","Towner County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38095",,,"Towner County, North Dakota",935,248,208,137,113,47,48,60,17,20,21,6,10,"Towner County, North Dakota",85,57,59,63,40,22,22,25,15,16,12,10,10
"G3800970","2015-2019","ND",,,"North Dakota","38","Traill County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38097",,,"Traill County, North Dakota",3834,645,730,427,383,446,132,259,82,236,293,154,47,"Traill County, North Dakota",158,96,82,82,72,128,36,54,31,55,66,51,23
"G3800990","2015-2019","ND",,,"North Dakota","38","Walsh County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38099",,,"Walsh County, North Dakota",5061,780,1198,895,520,593,154,342,115,73,170,116,105,"Walsh County, North Dakota",125,107,146,131,86,91,46,90,39,25,55,47,40
"G3801010","2015-2019","ND",,,"North Dakota","38","Ward County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38101",,,"Ward County, North Dakota",37359,2414,7730,8946,7802,3672,1502,1729,247,199,815,1021,1282,"Ward County, North Dakota",673,372,660,535,536,438,268,286,121,86,178,245,207
"G3801030","2015-2019","ND",,,"North Dakota","38","Wells County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38103",,,"Wells County, North Dakota",1726,306,457,227,161,249,57,138,0,22,33,5,71,"Wells County, North Dakota",121,73,87,72,52,84,38,51,9,18,21,6,61
"G3801050","2015-2019","ND",,,"North Dakota","38","Williams County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US38105",,,"Williams County, North Dakota",17926,1094,4336,4511,3936,1147,373,807,130,200,557,506,329,"Williams County, North Dakota",732,244,519,647,551,298,212,281,78,113,204,212,132
"G3900010","2015-2019","OH",,,"Ohio","39","Adams County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39001",,,"Adams County, Ohio",9788,340,1190,831,818,1288,637,1269,375,287,718,1140,895,"Adams County, Ohio",469,133,257,218,197,259,203,290,120,109,157,258,220
"G3900030","2015-2019","OH",,,"Ohio","39","Allen County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39003",,,"Allen County, Ohio",46046,2175,7337,8964,8759,6864,2796,3660,816,1002,1986,876,811,"Allen County, Ohio",800,266,737,572,531,457,340,364,197,233,358,170,184
"G3900050","2015-2019","OH",,,"Ohio","39","Ashland County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39005",,,"Ashland County, Ohio",24093,1799,3902,3496,2956,2856,1888,2786,754,665,1348,1122,521,"Ashland County, Ohio",596,293,397,338,364,318,293,312,198,188,240,222,159
"G3900070","2015-2019","OH",,,"Ohio","39","Ashtabula County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39007",,,"Ashtabula County, Ohio",38380,2263,5812,5380,4974,4776,2331,3357,979,1672,3658,2252,926,"Ashtabula County, Ohio",835,306,564,412,443,426,302,390,186,234,497,258,207
"G3900090","2015-2019","OH",,,"Ohio","39","Athens County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39009",,,"Athens County, Ohio",26744,1332,4820,5300,4822,3641,1687,1723,308,316,1034,961,800,"Athens County, Ohio",882,193,480,498,449,425,310,236,104,135,183,259,205
"G3900110","2015-2019","OH",,,"Ohio","39","Auglaize County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39011",,,"Auglaize County, Ohio",22487,1783,3874,3366,2843,4079,2040,2102,536,401,806,267,390,"Auglaize County, Ohio",410,242,366,353,307,372,294,287,155,124,172,76,105
"G3900130","2015-2019","OH",,,"Ohio","39","Belmont County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39013",,,"Belmont County, Ohio",27918,1196,2847,3751,5147,4531,2009,2947,671,839,1985,1329,666,"Belmont County, Ohio",655,237,408,352,412,432,286,306,189,163,311,259,154
"G3900150","2015-2019","OH",,,"Ohio","39","Brown County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39015",,,"Brown County, Ohio",18254,542,1916,1348,1591,1503,656,2616,657,886,2811,2850,878,"Brown County, Ohio",567,176,318,250,260,263,152,396,201,207,388,384,202
"G3900170","2015-2019","OH",,,"Ohio","39","Butler County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39017",,,"Butler County, Ohio",171604,2967,16557,22404,25652,27842,13752,23020,7307,8107,15985,5738,2273,"Butler County, Ohio",1981,383,922,1038,1359,1297,861,1023,635,658,812,550,311
"G3900190","2015-2019","OH",,,"Ohio","39","Carroll County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39019",,,"Carroll County, Ohio",11710,723,1594,1212,1580,1180,614,928,704,664,1320,744,447,"Carroll County, Ohio",444,159,296,236,316,217,149,176,216,162,259,181,161
"G3900210","2015-2019","OH",,,"Ohio","39","Champaign County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39021",,,"Champaign County, Ohio",17310,980,2172,2073,1960,2478,1195,2247,999,687,1540,641,338,"Champaign County, Ohio",484,193,287,313,221,298,184,250,217,147,240,180,98
"G3900230","2015-2019","OH",,,"Ohio","39","Clark County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39023",,,"Clark County, Ohio",57758,2792,7406,9537,10146,7885,3505,5914,2253,1558,3974,1986,802,"Clark County, Ohio",834,326,619,590,553,555,407,484,303,223,360,334,190
"G3900250","2015-2019","OH",,,"Ohio","39","Clermont County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39025",,,"Clermont County, Ohio",96079,2176,7069,9679,11103,12104,8465,15801,6084,7117,11225,3964,1292,"Clermont County, Ohio",1213,460,723,703,765,889,710,891,560,609,738,423,289
"G3900270","2015-2019","OH",,,"Ohio","39","Clinton County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39027",,,"Clinton County, Ohio",18412,903,2641,2541,2480,1945,851,1627,587,772,2038,1618,409,"Clinton County, Ohio",491,180,387,346,269,249,201,215,150,191,257,253,128
"G3900290","2015-2019","OH",,,"Ohio","39","Columbiana County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39029",,,"Columbiana County, Ohio",42853,2320,5956,6103,5642,5013,2421,4726,1731,2039,3452,2359,1091,"Columbiana County, Ohio",852,413,509,549,482,479,279,433,292,336,411,319,209
"G3900310","2015-2019","OH",,,"Ohio","39","Coshocton County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39031",,,"Coshocton County, Ohio",15027,702,2437,2565,2018,1943,504,1194,252,940,1417,572,483,"Coshocton County, Ohio",416,206,296,394,301,246,138,227,85,189,290,136,112
"G3900330","2015-2019","OH",,,"Ohio","39","Crawford County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39033",,,"Crawford County, Ohio",18150,1226,2934,2614,2569,2346,1643,1816,658,460,739,711,434,"Crawford County, Ohio",464,211,303,298,284,275,225,254,179,116,169,186,111
"G3900350","2015-2019","OH",,,"Ohio","39","Cuyahoga County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39035",,,"Cuyahoga County, Ohio",556293,11274,44438,70103,91076,99280,52643,85769,20596,21971,35009,16315,7819,"Cuyahoga County, Ohio",3137,892,1536,1646,1845,1959,1467,1965,965,1076,1318,896,533
"G3900370","2015-2019","OH",,,"Ohio","39","Darke County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39037",,,"Darke County, Ohio",23552,1716,3379,3591,3248,2846,1625,2370,935,830,1633,883,496,"Darke County, Ohio",416,232,328,341,307,286,206,285,187,162,215,171,133
"G3900390","2015-2019","OH",,,"Ohio","39","Defiance County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39039",,,"Defiance County, Ohio",17947,930,2939,3373,2657,2267,1443,1910,365,450,824,575,214,"Defiance County, Ohio",470,212,321,374,313,304,272,281,112,127,166,148,100
"G3900410","2015-2019","OH",,,"Ohio","39","Delaware County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39041",,,"Delaware County, Ohio",93697,2431,7586,9999,11926,13232,8646,16197,5146,5929,8396,2967,1242,"Delaware County, Ohio",1463,413,598,708,733,751,663,848,522,582,652,380,247
"G3900430","2015-2019","OH",,,"Ohio","39","Erie County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39043",,,"Erie County, Ohio",34446,1410,5583,6574,6972,4254,1932,3233,657,592,1314,1237,688,"Erie County, Ohio",744,228,615,626,668,483,263,472,165,122,205,244,184
"G3900450","2015-2019","OH",,,"Ohio","39","Fairfield County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39045",,,"Fairfield County, Ohio",69670,1928,5775,7652,8445,8112,4196,10449,3801,4193,9288,4500,1331,"Fairfield County, Ohio",1195,340,513,679,690,680,451,688,469,518,626,423,276
"G3900470","2015-2019","OH",,,"Ohio","39","Fayette County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39047",,,"Fayette County, Ohio",12084,414,2081,1920,1498,1132,523,964,402,551,1198,1084,317,"Fayette County, Ohio",412,138,246,266,244,244,122,199,123,202,203,197,107
"G3900490","2015-2019","OH",,,"Ohio","39","Franklin County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39049",,,"Franklin County, Ohio",632506,12485,53055,87090,121276,128314,61323,91553,16269,16816,24370,12364,7591,"Franklin County, Ohio",3296,1076,1579,2184,2567,2422,1948,2251,944,1021,1212,887,609
"G3900510","2015-2019","OH",,,"Ohio","39","Fulton County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39051",,,"Fulton County, Ohio",20515,1294,3243,2581,2481,2500,1696,2138,787,972,1863,673,287,"Fulton County, Ohio",400,225,322,285,294,289,280,237,208,191,255,154,98
"G3900530","2015-2019","OH",,,"Ohio","39","Gallia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39053",,,"Gallia County, Ohio",11531,621,876,1463,2041,1620,408,1475,465,405,739,834,584,"Gallia County, Ohio",455,223,215,245,360,330,109,251,204,140,161,224,169
"G3900550","2015-2019","OH",,,"Ohio","39","Geauga County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39055",,,"Geauga County, Ohio",43416,1827,3641,4434,4468,5638,3700,6452,2601,2491,4713,2600,851,"Geauga County, Ohio",658,312,393,412,424,574,441,492,322,316,455,322,205
"G3900570","2015-2019","OH",,,"Ohio","39","Greene County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39057",,,"Greene County, Ohio",75868,2290,8814,12715,14765,13194,6150,8315,1962,1652,2797,2382,832,"Greene County, Ohio",1147,365,685,899,761,794,440,599,288,318,362,286,172
"G3900590","2015-2019","OH",,,"Ohio","39","Guernsey County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39059",,,"Guernsey County, Ohio",16070,869,1730,3113,2909,2028,837,1415,353,327,1236,667,586,"Guernsey County, Ohio",446,189,289,321,360,268,158,219,96,106,239,152,130
"G3900610","2015-2019","OH",,,"Ohio","39","Hamilton County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39061",,,"Hamilton County, Ohio",379903,8607,32533,47456,61269,71398,37745,60518,13185,13503,19294,9180,5215,"Hamilton County, Ohio",2700,697,1385,1504,1982,2063,1368,1751,896,759,1139,649,521
"G3900630","2015-2019","OH",,,"Ohio","39","Hancock County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39063",,,"Hancock County, Ohio",36643,2139,7377,8748,6927,3902,1589,2188,692,736,1290,808,247,"Hancock County, Ohio",681,341,533,670,524,357,229,283,166,184,237,184,81
"G3900650","2015-2019","OH",,,"Ohio","39","Hardin County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39065",,,"Hardin County, Ohio",13014,969,2386,1618,1321,1421,690,1275,688,678,1105,423,440,"Hardin County, Ohio",472,234,297,275,263,210,161,201,164,139,166,107,163
"G3900670","2015-2019","OH",,,"Ohio","39","Harrison County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39067",,,"Harrison County, Ohio",5771,220,531,583,714,562,427,945,309,300,517,411,252,"Harrison County, Ohio",277,59,118,152,132,122,116,164,103,82,116,106,94
"G3900690","2015-2019","OH",,,"Ohio","39","Henry County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39069",,,"Henry County, Ohio",12842,651,1890,1691,1642,1979,1411,1475,321,385,909,322,166,"Henry County, Ohio",279,151,264,234,222,240,195,231,96,84,144,113,72
"G3900710","2015-2019","OH",,,"Ohio","39","Highland County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39071",,,"Highland County, Ohio",16528,1018,1886,1635,1864,2342,702,1895,587,606,1748,1749,496,"Highland County, Ohio",600,220,321,276,286,306,161,336,192,182,254,241,119
"G3900730","2015-2019","OH",,,"Ohio","39","Hocking County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39073",,,"Hocking County, Ohio",11664,414,1306,1340,1649,1139,690,1287,494,492,897,1518,438,"Hocking County, Ohio",462,123,204,224,277,217,177,225,132,127,160,269,111
"G3900750","2015-2019","OH",,,"Ohio","39","Holmes County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39075",,,"Holmes County, Ohio",18494,1553,2293,3375,2912,2785,1017,2139,312,407,752,365,584,"Holmes County, Ohio",510,261,321,355,351,341,236,388,117,125,180,111,147
"G3900770","2015-2019","OH",,,"Ohio","39","Huron County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39077",,,"Huron County, Ohio",26423,1685,4389,3907,2768,3243,2541,3258,825,752,1633,1010,412,"Huron County, Ohio",588,236,405,408,302,397,315,358,163,172,252,199,113
"G3900790","2015-2019","OH",,,"Ohio","39","Jackson County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39079",,,"Jackson County, Ohio",12873,838,1654,2074,2077,1119,569,916,664,647,945,752,618,"Jackson County, Ohio",523,272,328,301,333,277,182,231,206,179,203,260,198
"G3900810","2015-2019","OH",,,"Ohio","39","Jefferson County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39081",,,"Jefferson County, Ohio",26067,1279,3385,4032,3966,3236,2051,2595,761,1104,1779,1297,582,"Jefferson County, Ohio",661,231,380,397,355,323,261,287,170,178,250,196,129
"G3900830","2015-2019","OH",,,"Ohio","39","Knox County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39083",,,"Knox County, Ohio",26586,1267,3976,3869,3532,3274,1426,2174,586,912,2095,2833,642,"Knox County, Ohio",682,244,453,420,343,348,308,348,178,224,306,356,170
"G3900850","2015-2019","OH",,,"Ohio","39","Lake County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39085",,,"Lake County, Ohio",111255,3218,9930,16164,18831,17989,9071,15155,4503,4821,7728,2680,1165,"Lake County, Ohio",1227,425,679,846,903,807,644,591,402,467,462,343,242
"G3900870","2015-2019","OH",,,"Ohio","39","Lawrence County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39087",,,"Lawrence County, Ohio",23669,952,2366,3231,4086,4221,1602,2990,554,634,1897,702,434,"Lawrence County, Ohio",786,331,390,599,407,564,329,456,211,165,295,204,173
"G3900890","2015-2019","OH",,,"Ohio","39","Licking County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39089",,,"Licking County, Ohio",78507,2514,7503,10878,10965,9292,4915,9839,3826,4531,9300,3902,1042,"Licking County, Ohio",1044,428,722,796,917,751,540,728,502,470,662,390,247
"G3900910","2015-2019","OH",,,"Ohio","39","Logan County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39091",,,"Logan County, Ohio",20105,1283,2911,2709,3040,3195,1532,1978,528,567,1159,985,218,"Logan County, Ohio",630,234,389,356,344,385,267,294,110,136,185,167,88
"G3900930","2015-2019","OH",,,"Ohio","39","Lorain County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39093",,,"Lorain County, Ohio",135946,5129,14070,17009,20609,19144,12949,17619,5729,5946,10858,4934,1950,"Lorain County, Ohio",1765,581,808,1029,1006,1040,726,853,524,492,689,514,307
"G3900950","2015-2019","OH",,,"Ohio","39","Lucas County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39095",,,"Lucas County, Ohio",190524,5722,21740,32717,38929,36702,14644,19832,3213,2469,6478,5381,2697,"Lucas County, Ohio",1575,608,953,1298,1473,1313,842,1096,438,372,539,568,323
"G3900970","2015-2019","OH",,,"Ohio","39","Madison County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39097",,,"Madison County, Ohio",18048,889,2033,1783,2346,2144,1319,2766,1264,1005,1657,523,319,"Madison County, Ohio",721,214,299,273,319,301,233,338,267,180,346,136,118
"G3900990","2015-2019","OH",,,"Ohio","39","Mahoning County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39099",,,"Mahoning County, Ohio",98418,3348,12163,16882,19226,16608,7081,9127,2178,1890,4064,3858,1993,"Mahoning County, Ohio",1277,425,823,868,979,838,547,638,361,287,465,420,323
"G3901010","2015-2019","OH",,,"Ohio","39","Marion County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39101",,,"Marion County, Ohio",25159,937,3795,5250,4269,2716,1092,1811,689,705,1778,1685,432,"Marion County, Ohio",618,208,472,447,398,405,242,263,152,156,276,288,140
"G3901030","2015-2019","OH",,,"Ohio","39","Medina County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39103",,,"Medina County, Ohio",87247,2654,8189,10276,10966,10833,6627,11978,4488,5746,9527,4554,1409,"Medina County, Ohio",883,392,737,616,764,686,589,801,399,551,589,503,244
"G3901050","2015-2019","OH",,,"Ohio","39","Meigs County","105",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39105",,,"Meigs County, Ohio",8295,112,680,900,880,1083,595,1382,495,248,726,614,580,"Meigs County, Ohio",415,44,173,165,169,218,151,218,184,94,139,140,161
"G3901070","2015-2019","OH",,,"Ohio","39","Mercer County","107",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39107",,,"Mercer County, Ohio",20324,1780,4020,3418,3301,2391,1285,1624,444,543,868,323,327,"Mercer County, Ohio",451,280,408,392,398,256,167,248,96,117,176,95,128
"G3901090","2015-2019","OH",,,"Ohio","39","Miami County","109",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39109",,,"Miami County, Ohio",48852,2035,7004,8209,7875,6818,3478,5991,1771,1549,2254,1211,657,"Miami County, Ohio",937,368,770,756,607,576,412,591,320,271,337,227,153
"G3901110","2015-2019","OH",,,"Ohio","39","Monroe County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US39111",,,"Monroe County, Ohio",5020,259,405,617,503,513,168,675,146,203,690,572,269,"Monroe County, Ohio",258,104,104,152,122,122,60,129,56,69,138,137,94
