GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,BTTRA,BTBGA,NAME_E,ALU3E001,ALU3E002,ALU3E003,ALU3E004,ALU3E005,ALU3E006,ALU3E007,ALU3E008,ALU3E009,ALU3E010,ALU3E011,ALU3E012,ALU3E013,NAME_M,ALU3M001,ALU3M002,ALU3M003,ALU3M004,ALU3M005,ALU3M006,ALU3M007,ALU3M008,ALU3M009,ALU3M010,ALU3M011,ALU3M012,ALU3M013
"G0801110","2015-2019","CO",,,"Colorado","08","San Juan County","111",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08111",,,"San Juan County, Colorado",305,36,187,49,11,0,0,7,3,6,2,4,0,"San Juan County, Colorado",72,25,56,31,12,12,12,10,4,9,5,6,12
"G0801130","2015-2019","CO",,,"Colorado","08","San Miguel County","113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08113",,,"San Miguel County, Colorado",4311,224,853,783,998,425,104,369,92,34,296,93,40,"San Miguel County, Colorado",197,63,169,174,165,98,43,106,39,22,79,41,26
"G0801150","2015-2019","CO",,,"Colorado","08","Sedgwick County","115",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08115",,,"Sedgwick County, Colorado",805,160,147,95,82,75,49,38,4,24,65,24,42,"Sedgwick County, Colorado",89,41,45,24,26,31,30,17,6,15,22,11,32
"G0801170","2015-2019","CO",,,"Colorado","08","Summit County","117",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08117",,,"Summit County, Colorado",17290,1528,3521,2834,3794,1941,913,1494,139,222,182,559,163,"Summit County, Colorado",694,377,694,617,687,415,370,549,103,116,123,278,122
"G0801190","2015-2019","CO",,,"Colorado","08","Teller County","119",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08119",,,"Teller County, Colorado",10644,328,1156,1167,781,1114,587,949,670,626,1613,1119,534,"Teller County, Colorado",497,119,240,290,200,314,163,232,207,208,314,247,163
"G0801210","2015-2019","CO",,,"Colorado","08","Washington County","121",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08121",,,"Washington County, Colorado",1952,282,430,152,244,165,39,196,37,59,152,74,122,"Washington County, Colorado",157,66,97,44,44,58,22,45,43,23,41,31,66
"G0801230","2015-2019","CO",,,"Colorado","08","Weld County","123",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08123",,,"Weld County, Colorado",140840,3545,13185,17881,20303,18601,8407,19825,5204,6334,13408,10560,3587,"Weld County, Colorado",1590,386,750,983,938,903,746,927,498,517,757,675,321
"G0801250","2015-2019","CO",,,"Colorado","08","Yuma County","125",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US08125",,,"Yuma County, Colorado",4244,567,1573,548,432,276,101,353,9,150,63,133,39,"Yuma County, Colorado",272,161,292,134,150,100,68,130,12,96,48,75,31
"G0900010","2015-2019","CT",,,"Connecticut","09","Fairfield County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09001",,,"Fairfield County, Connecticut",439787,9759,37722,61704,68268,57878,21765,49827,9868,15598,34098,42840,30460,"Fairfield County, Connecticut",2481,764,1797,1854,1906,1648,1018,1435,581,963,1490,1557,1318
"G0900030","2015-2019","CT",,,"Connecticut","09","Hartford County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09003",,,"Hartford County, Connecticut",422759,9726,37406,66690,72984,74960,33282,56782,12375,14861,22951,13839,6903,"Hartford County, Connecticut",3006,876,1486,1952,1892,1902,1229,1601,796,873,952,847,475
"G0900050","2015-2019","CT",,,"Connecticut","09","Litchfield County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09005",,,"Litchfield County, Connecticut",89760,4001,9170,11476,10676,11944,6060,10085,3255,4028,8858,6789,3418,"Litchfield County, Connecticut",1129,413,621,805,775,754,538,704,370,464,600,571,480
"G0900070","2015-2019","CT",,,"Connecticut","09","Middlesex County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09007",,,"Middlesex County, Connecticut",81477,2585,9253,9498,9956,10535,6427,11715,3733,4721,7720,3428,1906,"Middlesex County, Connecticut",1132,449,658,695,751,729,610,741,481,455,606,439,304
"G0900090","2015-2019","CT",,,"Connecticut","09","New Haven County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09009",,,"New Haven County, Connecticut",402925,8484,38036,61301,66762,65597,26639,51323,12201,14855,26446,19467,11814,"New Haven County, Connecticut",3187,805,1481,1642,1876,1717,1374,1906,808,847,1172,1098,901
"G0900110","2015-2019","CT",,,"Connecticut","09","New London County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09011",,,"New London County, Connecticut",129793,3418,14245,21339,21850,22132,8781,14316,3802,4078,7209,6170,2453,"New London County, Connecticut",1500,419,798,1091,1093,1086,619,849,485,468,640,512,338
"G0900130","2015-2019","CT",,,"Connecticut","09","Tolland County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09013",,,"Tolland County, Connecticut",71718,1813,6878,8614,8023,9853,6792,11874,3412,4062,6327,2918,1152,"Tolland County, Connecticut",1244,323,646,638,679,757,656,780,439,468,522,395,214
"G0900150","2015-2019","CT",,,"Connecticut","09","Windham County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US09015",,,"Windham County, Connecticut",54407,1521,5628,8404,7636,7195,3455,6123,1758,2173,5907,3599,1008,"Windham County, Connecticut",986,255,591,615,650,635,393,599,286,269,593,373,217
"G1000010","2015-2019","DE",,,"Delaware","10","Kent County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US10001",,,"Kent County, Delaware",77548,2081,7490,12653,13513,10740,4435,8236,1863,2383,5946,6070,2138,"Kent County, Delaware",1256,355,690,754,916,831,540,761,324,422,677,693,331
"G1000030","2015-2019","DE",,,"Delaware","10","New Castle County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US10003",,,"New Castle County, Delaware",259546,4210,18689,36209,43794,45546,19850,36159,6592,10741,17114,13945,6697,"New Castle County, Delaware",2385,581,969,1330,1535,1599,954,1390,603,799,1088,949,594
"G1000050","2015-2019","DE",,,"Delaware","10","Sussex County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US10005",,,"Sussex County, Delaware",90669,2687,9758,11629,13054,13460,6382,14058,2822,3379,6198,4327,2915,"Sussex County, Delaware",1547,423,653,740,852,794,683,866,370,461,576,468,323
"G1100010","2015-2019","DC",,,"District of Columbia","11","District of Columbia","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US11001",,,"District of Columbia, District of Columbia",349094,3742,13281,25576,38967,51342,27267,70192,18653,24429,43949,24814,6882,"District of Columbia, District of Columbia",2661,517,900,1245,1420,1657,1204,1970,1052,1220,1484,1138,623
"G1200010","2015-2019","FL",,,"Florida","12","Alachua County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12001",,,"Alachua County, Florida",117415,1860,10093,18260,25243,23521,7786,15949,2460,2200,5361,2713,1969,"Alachua County, Florida",2004,386,998,1288,1308,1370,886,934,401,335,648,445,494
"G1200030","2015-2019","FL",,,"Florida","12","Baker County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12003",,,"Baker County, Florida",10154,195,1186,804,1190,730,681,1380,209,436,2089,1007,247,"Baker County, Florida",734,102,442,232,290,248,296,396,105,143,403,281,153
"G1200050","2015-2019","FL",,,"Florida","12","Bay County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12005",,,"Bay County, Florida",80720,1876,8984,11622,14601,12545,4668,12960,1638,2257,4561,3275,1733,"Bay County, Florida",1323,317,702,778,976,927,543,996,386,389,478,513,334
"G1200070","2015-2019","FL",,,"Florida","12","Bradford County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12007",,,"Bradford County, Florida",9045,275,1160,1091,1014,661,336,846,264,545,1251,1314,288,"Bradford County, Florida",723,110,311,280,298,179,133,237,145,166,322,338,132
"G1200090","2015-2019","FL",,,"Florida","12","Brevard County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12009",,,"Brevard County, Florida",233536,4787,19687,31254,41473,40200,17449,34121,6643,8280,15241,9353,5048,"Brevard County, Florida",2684,591,1194,1765,1650,1488,1098,1827,749,738,1201,846,606
"G1200110","2015-2019","FL",,,"Florida","12","Broward County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12011",,,"Broward County, Florida",898752,12476,51392,91591,122226,149061,63327,163592,29773,42089,90543,61156,21526,"Broward County, Florida",4640,998,2086,2920,2738,3596,2534,3544,1531,1727,2993,1995,1496
"G1200130","2015-2019","FL",,,"Florida","12","Calhoun County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12013",,,"Calhoun County, Florida",4640,383,401,439,499,537,292,514,222,274,399,534,146,"Calhoun County, Florida",402,188,184,191,213,175,113,216,106,147,159,186,94
"G1200150","2015-2019","FL",,,"Florida","12","Charlotte County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12015",,,"Charlotte County, Florida",55193,1109,6174,9137,10668,7395,3386,5433,1402,1789,4671,2702,1327,"Charlotte County, Florida",1312,240,622,666,875,714,448,641,293,351,552,395,325
"G1200170","2015-2019","FL",,,"Florida","12","Citrus County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12017",,,"Citrus County, Florida",42604,1136,3851,6784,6812,6778,2693,5976,843,1823,2332,2010,1566,"Citrus County, Florida",1316,266,619,689,690,654,356,675,219,404,361,356,298
"G1200190","2015-2019","FL",,,"Florida","12","Clay County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12019",,,"Clay County, Florida",91147,1315,4942,7666,8309,12026,5236,14805,4301,6440,13776,9643,2688,"Clay County, Florida",1788,284,633,724,733,1195,671,1117,615,818,852,916,456
"G1200210","2015-2019","FL",,,"Florida","12","Collier County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12021",,,"Collier County, Florida",142967,2461,12699,19368,24341,22961,11559,22155,4711,5519,9876,4785,2532,"Collier County, Florida",1795,501,989,1368,1329,1359,1201,1473,889,798,1296,745,447
"G1200230","2015-2019","FL",,,"Florida","12","Columbia County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12023",,,"Columbia County, Florida",24942,383,2808,4007,4561,3745,1609,1917,545,912,2652,1197,606,"Columbia County, Florida",811,156,422,466,542,436,474,313,175,272,428,288,196
"G1200270","2015-2019","FL",,,"Florida","12","DeSoto County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12027",,,"DeSoto County, Florida",12441,118,1253,1541,1973,2649,338,1704,227,383,1113,870,272,"DeSoto County, Florida",629,74,283,306,393,533,105,422,106,240,291,197,120
"G1200290","2015-2019","FL",,,"Florida","12","Dixie County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12029",,,"Dixie County, Florida",4577,151,843,819,524,637,132,476,49,118,240,452,136,"Dixie County, Florida",408,85,292,228,194,177,65,195,46,68,133,207,71
"G1200310","2015-2019","FL",,,"Florida","12","Duval County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12031",,,"Duval County, Florida",435422,5787,31744,47508,72083,80612,37943,82117,14262,15297,28448,12478,7143,"Duval County, Florida",3066,669,1629,1939,2031,2599,1789,2501,1016,1171,1592,1023,703
"G1200330","2015-2019","FL",,,"Florida","12","Escambia County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12033",,,"Escambia County, Florida",131031,2799,11923,18566,29906,26103,9320,15430,2574,2719,6151,3287,2253,"Escambia County, Florida",1734,401,974,1095,1486,1310,798,1195,383,348,646,490,333
"G1200350","2015-2019","FL",,,"Florida","12","Flagler County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12035",,,"Flagler County, Florida",39310,438,2988,7850,5935,4586,1692,5368,1586,2619,3126,2083,1039,"Flagler County, Florida",893,145,578,791,678,624,425,577,354,579,443,388,208
"G1200370","2015-2019","FL",,,"Florida","12","Franklin County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12037",,,"Franklin County, Florida",4069,329,882,807,663,323,138,389,69,117,75,171,106,"Franklin County, Florida",269,143,193,205,172,115,66,128,55,69,52,95,60
"G1200390","2015-2019","FL",,,"Florida","12","Gadsden County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12039",,,"Gadsden County, Florida",16223,332,957,1297,1594,2070,1258,3406,727,1084,2144,678,676,"Gadsden County, Florida",765,151,242,322,255,378,317,469,212,294,415,232,192
"G1200410","2015-2019","FL",,,"Florida","12","Gilchrist County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12041",,,"Gilchrist County, Florida",6195,87,436,674,639,809,345,943,158,309,1021,552,222,"Gilchrist County, Florida",389,57,162,190,171,215,134,249,76,104,208,132,142
"G1200430","2015-2019","FL",,,"Florida","12","Glades County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12043",,,"Glades County, Florida",3446,176,479,242,263,618,287,273,167,90,90,397,364,"Glades County, Florida",376,84,173,91,119,206,179,134,169,87,79,188,171
"G1200450","2015-2019","FL",,,"Florida","12","Gulf County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12045",,,"Gulf County, Florida",5426,395,1022,703,488,431,305,712,43,178,758,201,190,"Gulf County, Florida",397,152,191,225,156,138,148,165,36,126,204,94,95
"G1200470","2015-2019","FL",,,"Florida","12","Hamilton County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"05000US12047",,,"Hamilton County, Florida",3591,271,294,659,448,438,465,361,102,113,326,80,34,"Hamilton County, Florida",434,129,114,201,193,177,143,131,54,73,132,46,28
